ExperimentName,subject,Session,Procedure,Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,pathlength,prime_word,Stimuli1,target_word,TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,TargetAccuracy,RTRecogniseTarget
NetworksDemasking_SingleListLongDurations,36,1,S2,220,3,-0.425,0.054,-0.548,-0.31,A157,10.451,9.56,14.655559,-0.429,9,10.0055,-0.1855,6,PRESIDENT,157,INTEGRITY,{SHIFT}Integrity{SPACE},3576,2,1,1192
NetworksDemasking_SingleListLongDurations,36,1,S2,63,Inf,-0.247,-0.441,-0.419,-0.452,A158,10.647,7.997,Inf,-0.4355,9,9.322,-0.344,2,PRODUCE,158,ORCHARD,{SHIFT}Orchard{SPACE},1895,2,1,1383
NetworksDemasking_SingleListLongDurations,36,1,S2,162,6,0.003,-0.324,-0.101,0.058,A159,6.461,9.221,28.020141,-0.0215,8.5,7.841,-0.1605,3,PRODUCTION,159,RIDICULOUS,{SHIFT}Ridiculous{SPACE},2782,4,1,537
NetworksDemasking_SingleListLongDurations,36,1,S2,121,1,0.013,-0.696,-0.157,-0.729,A160,7.16,9.401,2.93546,-0.443,7.5,8.2805,-0.3415,1,PROSECUTE,160,LAWYER,{SHIFT}Lawyer{SPACE},1615,1,1,924
NetworksDemasking_SingleListLongDurations,36,1,S2,4,3,-0.406,-0.761,-0.176,-0.597,A161,8.777,6.887,16.906151,-0.3865,7.5,7.832,-0.5835,3,PROTEIN,161,PIECES,{SHIFT}Pieces{SPACE},3256,3,1,2098
NetworksDemasking_SingleListLongDurations,36,1,S2,67,5,-0.523,-0.072,-0.903,-0.681,A162,9.96,10.456,24.97109,-0.792,6.5,10.208,-0.2975,6,PROVISION,162,STANDARDS,{SHIFT}Standards{SPACE},2483,3,1,537
NetworksDemasking_SingleListLongDurations,36,1,S2,228,4,-0.745,-0.296,-0.591,-0.676,A163,7.087,8.593,16.62982,-0.6335,4.5,7.84,-0.5205,2,PUFF,163,TIGER,{SHIFT}Tiger{SPACE},1008,2,1,868
NetworksDemasking_SingleListLongDurations,36,1,S2,201,6,-0.36,-0.21,-0.17,-0.535,A164,6.447,6.892,26.045337,-0.3525,6.5,6.6695,-0.285,6,QUARREL,164,COPIER,{SHIFT}Copier{SPACE},1318,4,1,1216
NetworksDemasking_SingleListLongDurations,36,1,S2,7,5,-0.012,-0.492,-0.201,-0.66,A165,7.976,10.086,19.13515,-0.4305,8,9.031,-0.252,2,RECIPE,165,SAMPLE,{SHIFT}Sample{SPACE},1606,2,1,1051
NetworksDemasking_SingleListLongDurations,36,1,S2,160,4,-0.484,-0.53,-0.492,-0.175,A166,7.92,9.373,17.192348,-0.3335,6,8.6465,-0.507,1,RECREATION,166,OUTDOORS,{SHIFT}Outdoor{SPACE},1977,2,1,976
NetworksDemasking_SingleListLongDurations,36,1,S2,226,5,-0.6,-0.64,-0.664,-0.424,A167,10.499,9.262,19.847405,-0.544,6.5,9.8805,-0.62,6,REPRESS,167,AFTERNOON,{SHIFT}Attention{SPACE},1939,3,1,1178
NetworksDemasking_SingleListLongDurations,36,1,S2,191,3,-0.616,-0.612,-0.423,-0.544,A168,6.864,8.128,15.513933,-0.4835,3,7.496,-0.614,4,ROAD,168,CAB,{SHIFT}Cab{SPACE},1693,2,1,898
NetworksDemasking_SingleListLongDurations,36,1,S2,28,5,-0.79,-0.097,-0.622,-0.151,A169,10.218,6.303,23.75276,-0.3865,5.5,8.2605,-0.4435,4,ROOT,169,SPATULA,{SHIFT}Spatula{SPACE},2315,2,1,536
NetworksDemasking_SingleListLongDurations,36,1,S2,222,2,-0.493,-0.465,-0.446,-0.475,A170,10.937,8.832,1.376563,-0.4605,5.5,9.8845,-0.479,1,RYE,170,BUTTER,{SHIFT}Butter{SPACE},1490,2,1,1060
NetworksDemasking_SingleListLongDurations,36,1,S2,102,5,0.082,-0.227,-0.382,-0.221,A171,8.954,6.236,22.780705,-0.3015,7,7.595,-0.0725,15,SALES,171,ANTELOPE,{SHIFT}Antelope{SPACE},1659,3,1,954
NetworksDemasking_SingleListLongDurations,36,1,S2,155,4,-0.211,-0.37,-0.19,-0.283,A172,9.79,8.113,20.901115,-0.2365,6.5,8.9515,-0.2905,4,SCARED,172,DISGUST,{SHIFT}Disgust{SPACE},1566,3,1,948
NetworksDemasking_SingleListLongDurations,36,1,S2,163,4,-0.165,-0.393,-0.48,-0.367,A173,8.996,7.002,15.209982,-0.4235,6.5,7.999,-0.279,3,SCHEDULE,173,DIGIT,{SHIFT}Digit{SPACE},1063,3,1,950
NetworksDemasking_SingleListLongDurations,36,1,S2,62,3,-0.29,-0.49,-0.465,-0.522,A174,7.093,9.045,15.984035,-0.4935,8,8.069,-0.39,3,SCRAMBLE,174,HORRIBLE,{SHIFT}Horrible{SPACE},2309,3,1,1314
NetworksDemasking_SingleListLongDurations,36,1,S2,177,5,-0.084,-0.453,-0.488,-0.202,A175,8.448,9.489,17.625289,-0.345,5.5,8.9685,-0.2685,4,SCRATCH,175,ARMOR,{SHIFT}Armor{SPACE},1338,3,1,910
NetworksDemasking_SingleListLongDurations,36,1,S2,185,4,-0.022,-0.373,0.126,-0.474,A176,6.795,8.473,20.294235,-0.174,4.5,7.634,-0.1975,1,SELLER,176,OWNER,{SHIFT}Owner{SPACE},1144,1,1,875
NetworksDemasking_SingleListLongDurations,36,1,S2,202,7,-0.204,-0.781,-0.426,-0.135,A177,8.649,8.196,29.492612,-0.2805,8.5,8.4225,-0.4925,15,SENTRY,177,OVERVIEW,{SHIFT}overview{SPACE},2199,3,1,1199
NetworksDemasking_SingleListLongDurations,36,1,S2,136,4,-0.342,0.11,-0.404,0.019,A178,8.083,6.498,21.437853,-0.1925,6,7.2905,-0.116,2,SERPENT,178,SUEDE,{SHIFT}{SHIFT}Suede{SPACE},2968,4,1,1217
NetworksDemasking_SingleListLongDurations,36,1,S2,69,3,-0.407,-0.324,-0.321,-0.503,A179,7.776,12.479,14.821145,-0.412,6.5,10.1275,-0.3655,6,SEVERAL,179,THINGS,{SHIFT}Things{SPACE},1586,3,1,919
NetworksDemasking_SingleListLongDurations,36,1,S2,8,1,-0.505,-0.449,-0.867,-0.517,A180,11.09,9.308,4.009984,-0.692,4.5,10.199,-0.477,1,SEX,180,GENDER,{SHIFT}Gender{SPACE},2079,1,1,535
NetworksDemasking_SingleListLongDurations,36,1,S2,127,5,-0.359,-0.134,-0.532,-0.179,A181,8.737,8.326,21.112046,-0.3555,5.5,8.5315,-0.2465,2,SHATTER,181,IMPACT,{SHIFT}Impact{SPACE},1618,3,1,1377
NetworksDemasking_SingleListLongDurations,36,1,S2,52,3,-0.393,-0.674,-0.177,-0.245,A182,7.915,8.824,15.096913,-0.211,4.5,8.3695,-0.5335,2,SHEEP,182,BUCK,{SHIFT}{SHIFT}{SHIFT}Buck{SPACE},3285,2,1,1138
NetworksDemasking_SingleListLongDurations,36,1,S2,205,3,-0.201,-0.448,-0.727,-0.42,A183,9.003,7.705,13.39366,-0.5735,5,8.354,-0.3245,1,SHEETS,183,SACK,{SHIFT}Sack{SPACE},2046,2,1,874
NetworksDemasking_SingleListLongDurations,36,1,S2,126,4,-0.379,-0.661,-0.813,-0.654,A184,10.004,7.713,20.449707,-0.7335,5,8.8585,-0.52,15,SHOE,184,LAP,{SHIFT}Lap{SPACE},1261,3,1,948
NetworksDemasking_SingleListLongDurations,36,1,S2,34,2,-0.266,-0.384,-0.688,-0.578,A185,9.61,8.939,7.712074,-0.633,7.5,9.2745,-0.325,1,SHOOTING,185,TRIGGER,{SHIFT}Trigger{SPACE},1730,2,1,1086
NetworksDemasking_SingleListLongDurations,36,1,S2,89,4,-0.45,-0.187,-0.53,-0.844,A186,7.315,9.821,15.70576,-0.687,6.5,8.568,-0.3185,6,SICK,186,STEEL,{SHIFT}Steel{SPACE},1183,2,1,875
NetworksDemasking_SingleListLongDurations,36,1,S2,40,4,-0.512,-0.45,-0.573,-0.53,A187,7.24,7.315,17.764524,-0.5515,6,7.2775,-0.481,15,SIDEWALK,187,CORK,{SHIFT}Cork{SPACE},1349,3,1,914
NetworksDemasking_SingleListLongDurations,36,1,S2,140,4,-0.476,-0.501,-0.614,-0.549,A245,9.731,6.791,18.75229,-0.5815,5.5,8.261,-0.4885,4,QUIT,188,BLOSSOM,{SHIFT}Blossom{SPACE},2048,4,1,859
NetworksDemasking_SingleListLongDurations,36,1,S2,183,3,-0.204,-0.313,-0.422,-0.381,A189,6.319,9.877,13.396309,-0.4015,5.5,8.098,-0.2585,3,SLAY,189,NUCLEAR,{SHIFT}Nuclear{SPACE},1398,3,1,933
NetworksDemasking_SingleListLongDurations,36,1,S2,130,4,-0.412,-0.298,-0.679,-0.343,A190,7.094,9.002,17.361844,-0.511,6.5,8.048,-0.355,3,SLEEPY,190,NEW,{SHIFT}new{SPACE},880,3,1,910
NetworksDemasking_SingleListLongDurations,36,1,S2,203,4,-0.268,-0.419,-0.461,-0.574,A191,5.398,8.687,13.887616,-0.5175,5.5,7.0425,-0.3435,4,SNEAKER,191,SURF,surf{SPACE},1107,3,1,837
NetworksDemasking_SingleListLongDurations,36,1,S2,43,5,-0.499,-0.739,-0.598,-0.275,A192,7.653,10.4,22.106084,-0.4365,3.5,9.0265,-0.619,3,SOAK,192,BAY,{SHIFT}Bay{SPACE},1363,2,1,1445
NetworksDemasking_SingleListLongDurations,36,1,S2,240,4,-0.594,-0.583,-0.828,-0.812,A193,10.691,9.944,18.194291,-0.82,3,10.3175,-0.5885,2,SON,193,KIDS,{SHIFT}Kids{SPACE},1092,3,1,921
NetworksDemasking_SingleListLongDurations,36,1,S2,114,4,-0.226,-0.299,-0.828,-0.52,A194,9.276,7.42,19.890313,-0.674,4.5,8.348,-0.2625,6,SPIN,194,SNACK,{SHIFT}Snack{SPACE},923,3,1,770
NetworksDemasking_SingleListLongDurations,36,1,S2,207,5,-0.138,-0.794,-0.365,-0.773,A195,6.306,7.941,22.211508,-0.569,7,7.1235,-0.466,3,SPLINTER,195,BOXING,{SHIFT}Boxing{SPACE},1930,2,1,828
NetworksDemasking_SingleListLongDurations,36,1,S2,96,5,-0.268,-0.565,-0.525,-0.556,A196,7.376,10.8,20.320169,-0.5405,5.5,9.088,-0.4165,6,SPONGE,196,FINAL,{SHIFT}Final{SPACE},983,4,1,1257
NetworksDemasking_SingleListLongDurations,36,1,S2,198,2,-0.024,-0.428,-0.031,-0.792,A197,6.279,9.648,4.716265,-0.4115,5,7.9635,-0.226,15,SPREE,197,SWEET,{SHIFT}sweet{SPACE},1450,2,1,919
NetworksDemasking_SingleListLongDurations,36,1,S2,128,1,-0.464,-0.554,-0.825,-0.829,A198,12.058,11.016,4.06413,-0.827,5,11.537,-0.509,1,START,198,BEGIN,{SHIFT}begin{SPACE},1379,1,1,920
NetworksDemasking_SingleListLongDurations,36,1,S2,101,4,0.242,-0.542,-0.21,-0.583,A199,5.768,9.945,17.985839,-0.3965,5.5,7.8565,-0.15,6,STINGY,199,ARGUE,{SHIFT}Argue{SPACE},1095,3,1,966
NetworksDemasking_SingleListLongDurations,36,1,S2,48,7,-0.371,-0.344,-0.384,-0.516,A200,7.268,5.037,31.280759,-0.45,8,6.1525,-0.3575,2,STOCKING,200,HEADBAND,{SHIFT}Headband{SPACE},2462,3,1,966
NetworksDemasking_SingleListLongDurations,36,1,S2,174,2,-0.05,0.209,-0.578,0.29,A201,9.357,5.759,7.045268,-0.144,5,7.558,0.0795,4,STREAM,201,OCEAN,{SHIFT}Ocean{SPACE},1588,2,1,905
NetworksDemasking_SingleListLongDurations,36,1,S2,156,3,-0.489,-0.243,-0.612,-0.948,A202,10.006,10.512,18.4386,-0.78,4.5,10.259,-0.366,15,SURVEY,202,SEA,{SHIFT}Sea{SPACE},1142,3,1,973
NetworksDemasking_SingleListLongDurations,36,1,S2,95,4,-0.327,-0.586,-0.685,-0.537,A203,9.057,9.331,18.104222,-0.611,6.5,9.194,-0.4565,4,TERROR,203,HINGE,{SHIFT}Hinge{SPACE},1336,3,1,2124
NetworksDemasking_SingleListLongDurations,36,1,S2,168,3,-0.339,NA,-0.379,NA,A204,9.193,NA,15.446696,-0.379,7,9.193,-0.339,2,THERAPY,204,TYLENOL,{SHIFT}Tylenol{SPACE},2253,2,1,1064
NetworksDemasking_SingleListLongDurations,36,1,S2,104,4,-0.207,-0.466,-0.126,-0.607,A205,6.544,7.824,18.852475,-0.3665,8.5,7.184,-0.3365,3,THERMOMETER,205,WARMTH,{SHIFT}Warmth{SPACE},1259,2,1,920
NetworksDemasking_SingleListLongDurations,36,1,S2,30,3,-0.712,-0.424,-0.764,-0.611,A206,13.389,13.472,15.668618,-0.6875,4,13.4305,-0.568,6,THINK,206,NEWS,{SHIFT}News{SPACE},1935,3,1,959
NetworksDemasking_SingleListLongDurations,36,1,S2,146,4,-0.237,-0.426,-0.307,-0.531,A207,6.425,10.328,18.883727,-0.419,5.5,8.3765,-0.3315,6,THRIFT,207,UNION,{SHIFT}union{SPACE},1365,3,1,898
NetworksDemasking_SingleListLongDurations,36,1,S2,55,2,-0.437,-0.454,-0.451,-0.454,A208,6.825,8.117,1.853955,-0.4525,5.5,7.471,-0.4455,3,TICKLE,208,CRY,{SHIFT}Cry{SPACE},960,2,1,909
NetworksDemasking_SingleListLongDurations,36,1,S2,35,6,-0.416,-0.111,-0.572,-0.634,A209,8.288,9.855,21.770396,-0.603,4.5,9.0715,-0.2635,6,TIDE,209,STEPS,{SHIFT}Steps{SPACE},1725,3,1,1163
NetworksDemasking_SingleListLongDurations,36,1,S2,129,4,-0.368,-0.485,-0.631,-0.587,A210,9.665,10.249,16.060018,-0.609,4.5,9.957,-0.4265,1,TINY,210,SUPER,{SHIFT}Super{SPACE},1765,2,1,898
NetworksDemasking_SingleListLongDurations,36,1,S2,123,1,-0.582,-0.649,-0.53,-0.661,A211,10.451,11.675,6.209453,-0.5955,5,11.063,-0.6155,1,TOPIC,211,ISSUE,{SHIFT}Issue{SPACE},1246,1,1,1098
NetworksDemasking_SingleListLongDurations,36,1,S2,234,4,-0.467,-0.352,-0.491,-0.447,A212,10.079,7.47,21.654406,-0.469,6,8.7745,-0.4095,15,TOWER,212,VERDICT,{SHIFT}Verdict{SPACE},1496,3,1,1052
NetworksDemasking_SingleListLongDurations,36,1,S2,24,4,-0.582,-0.444,-0.465,-0.314,A213,8.198,6.601,21.126683,-0.3895,7,7.3995,-0.513,1,TRAGEDY,213,REMORSE,{SHIFT}Remorse{SPACE},2226,2,1,2084
NetworksDemasking_SingleListLongDurations,36,1,S2,47,2,-0.21,-0.354,0.107,-0.321,A214,9.188,10.129,7.241875,-0.107,10,9.6585,-0.282,2,TRANSPORTAT,214,PLANE,{SHIFT}Plane{SPACE},1416,2,1,951
NetworksDemasking_SingleListLongDurations,36,1,S2,153,4,-0.453,-0.557,-0.64,-0.736,A215,9.595,8.188,13.571308,-0.688,4.5,8.8915,-0.505,3,TREES,215,HEDGE,{SHIFT}hedge{SPACE},994,2,1,1327
NetworksDemasking_SingleListLongDurations,36,1,S2,118,4,0.106,-0.564,-0.13,-0.1,A216,5.056,8.278,18.078464,-0.115,7.5,6.667,-0.229,6,TRICYCLE,216,PASS,{SHIFT}Pass{SPACE},1393,3,1,760
NetworksDemasking_SingleListLongDurations,36,1,S2,99,5,-0.632,-0.213,-0.433,-0.33,A217,7.071,5.366,23.010984,-0.3815,5.5,6.2185,-0.4225,15,TUG,217,CHIPMUNK,{SHIFT}Chipmunk{SPACE},3199,4,1,958
NetworksDemasking_SingleListLongDurations,36,1,S2,154,4,-0.212,-0.616,-0.292,-0.379,A218,8.174,7.077,19.292713,-0.3355,5,7.6255,-0.414,1,UNICORN,218,ELK,{SHIFT}Elk{SPACE},914,2,1,1144
NetworksDemasking_SingleListLongDurations,36,1,S2,72,6,-0.237,-0.574,0.148,-0.692,A219,8.399,10.719,27.370929,-0.272,6,9.559,-0.4055,15,UNUSED,219,ELIMINATION,{SHIFT}Elimination{SPACE},2606,3,1,2114
NetworksDemasking_SingleListLongDurations,36,1,S2,70,5,-0.683,0.318,-0.418,0.105,A220,9.337,6.144,26.885599,-0.1565,7,7.7405,-0.1825,4,UPSET,220,APATHETIC,{SHIFT}Apathetic{SPACE},2326,2,1,1456
NetworksDemasking_SingleListLongDurations,36,1,S2,46,2,-0.25,0.102,-0.154,0.113,A221,5.242,9.08,12.273213,-0.0205,6.5,7.161,-0.074,4,VEER,221,INTERSTATE,{SHIFT}Interstate{SPACE},3234,2,1,1069
NetworksDemasking_SingleListLongDurations,36,1,S2,200,1,-0.32,-0.388,-0.464,-0.728,A222,7.121,9.006,2.807355,-0.596,4.5,8.0635,-0.354,1,VEST,222,SHIRT,{SHIFT}Shirt{SPACE},1602,1,1,928
